Model,Method,Total Cost,Solved
GPT-3.5-turbo,io,0.06549150000000001,0
GPT-3.5-turbo,cot,0.06421550000000001,0
GPT-3.5-turbo,tot,0.8957409999999999,0
GPT-3.5-turbo,got,0.8301645000000001,0
GPT-4o,io,1.5292499999999998,0
GPT-4o,cot,2.03463,0
GPT-4o,tot,27.75159,0
GPT-4o,got,24.671969999999998,0
Claude-3.5,io,0.0,0
Claude-3.5,cot,0.0,0
Claude-3.5,tot,0.0,0
Claude-3.5,got,0.0,0
Llama-3.1-8B,io,0.0,0
Llama-3.1-8B,cot,0.0,0
Llama-3.1-8B,tot,0.0,0
Llama-3.1-8B,got,0.0,0
Mixtral-8x22B,io,0.0,0
Mixtral-8x22B,cot,0.0,0
Mixtral-8x22B,tot,0.0,0
Mixtral-8x22B,got,0.0,0
