Paper Titles,Publication Date,code-davinci-002,text-curie-001,text-davinci-003,text-ada-001,text-babbage-001,davinci,GPT-J,GPT-2,GPT-3,GPT-3.5,GPT-3.5-turbo,GPT-4,GPT-4 Bing,GPT-4o,Codex,GPT-4V,LLaMA 7B,LLaMA 30B-instruct,LLaMA 65B,LLaMA-2 8B,LLaMA-2 13B,LLaMA-2 70B,LLaMA-3,T5,PaLM-62B,PaLM-540B,BUTLER,PaLM Embedding API,Bard (PaLM 2),PaLM 2 (Chat-Bison-002),PaLM 2-L,PaLM 2-S,Gemini 1.5 Pro,UL2,LaMDA,LLaVA-1.5,IXC2-VL,LLaVA-NeXT,Intern VL 1.5,Claude 2,Claude 3 Haiku,Claude 3 Sonnet,Claude 3 Opus,Command R+,Solar-0-70B,Open Assistant,Baize,MOSS,ChatGLM,Dolly V2,StableLM,Mosaic MPT,Koala 13B,Vicuna 7B,Vicuna 13B,Vicuna-33B,Yi-34B-Chat,Tulu-2-70B,Alpaca 13B,Mistral-7B-Instruct,Starling 7B,Zephyr-7B,Open-Chat,WizardLM,WizardMath,WizardCoder,Medalpaca 13B,Med42-70B,MedLLaMA,PMC-LLaMA,Qwen-7B-Chat,Falcon 40B,Falcon 180B,Coral (Command),Macaw
Exploring Collaboration Mechanisms for LLM Agents: A Social Psychology View,2024-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kernel Language Entropy: Fine-grained Uncertainty Quantification for LLMs from Semantic Similarities,2024-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Certifiably Robust RAG against Retrieval Corruption,2024-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creative Beam Search: LLM-as-a-Judge For Improving Response Generation,2024-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enhancing Static Analysis for Practical Bug Detection: An LLM-Integrated Approach,2024-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Replacing Judges with Juries: Evaluating LLM Generations with a Panel of Diverse Models,2024-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyond Self-Consistency: Ensemble Reasoning Boosts Consistency and Accuracy of LLMs in Cancer Staging,2024-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GenQREnsemble: Zero-Shot LLM Ensemble Prompting for Generative Query Reformulation,2024-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUQ: Long-text Uncertainty Quantification for LLMs,2024-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monotonic Paraphrasing Improves Generalization of Language Model Prompting,2024-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
