Method,Score,Cost,Model
io,6.6499999999999995,0.0061385,GPT-3.5-turbo
io,8.418300653594772,0.0073825,GPT-3.5-turbo
io,6.7317073170731705,0.004231499999999999,GPT-3.5-turbo
io,6.3931623931623935,0.0050279999999999995,GPT-3.5-turbo
io,7.829787234042553,0.0061945,GPT-3.5-turbo
io,6.341463414634146,0.007001500000000001,GPT-3.5-turbo
io,6.25,0.007553500000000001,GPT-3.5-turbo
io,6.796747967479675,0.0059895,GPT-3.5-turbo
io,7.318181818181818,0.0079605,GPT-3.5-turbo
io,7.466666666666667,0.008011500000000001,GPT-3.5-turbo
cot,7.466666666666667,0.006111,GPT-3.5-turbo
cot,7.407407407407408,0.005988499999999999,GPT-3.5-turbo
cot,7.829787234042553,0.0063265000000000005,GPT-3.5-turbo
cot,7.407407407407408,0.005325000000000001,GPT-3.5-turbo
cot,6.495726495726496,0.006640500000000001,GPT-3.5-turbo
cot,6.25,0.00555,GPT-3.5-turbo
cot,7.069767441860465,0.005106,GPT-3.5-turbo
cot,6.333333333333333,0.008993,GPT-3.5-turbo
cot,7.74468085106383,0.0072315,GPT-3.5-turbo
cot,7.131782945736434,0.0069435,GPT-3.5-turbo
tot,8.081632653061225,0.10090500000000001,GPT-3.5-turbo
tot,7.74468085106383,0.0885525,GPT-3.5-turbo
tot,7.829787234042553,0.06406200000000001,GPT-3.5-turbo
tot,7.944444444444444,0.055299,GPT-3.5-turbo
tot,8.49673202614379,0.0611945,GPT-3.5-turbo
tot,7.875,0.0878815,GPT-3.5-turbo
tot,8.32,0.09808249999999999,GPT-3.5-turbo
tot,7.829787234042553,0.12315400000000001,GPT-3.5-turbo
tot,8.615384615384615,0.109671,GPT-3.5-turbo
tot,8.679245283018869,0.10693899999999999,GPT-3.5-turbo
got,8.418300653594772,0.06644,GPT-3.5-turbo
got,7.608695652173913,0.06021850000000001,GPT-3.5-turbo
got,7.666666666666667,0.06057800000000001,GPT-3.5-turbo
got,7.986111111111112,0.05809550000000001,GPT-3.5-turbo
got,8.28,0.0790905,GPT-3.5-turbo
got,7.74468085106383,0.093,GPT-3.5-turbo
got,8.0,0.07274800000000001,GPT-3.5-turbo
got,7.829787234042553,0.10427,GPT-3.5-turbo
got,8.418300653594772,0.08997250000000001,GPT-3.5-turbo
got,8.88888888888889,0.1457515,GPT-3.5-turbo
io,8.551282051282053,0.14756999999999998,GPT-4o
io,8.653846153846153,0.16355999999999998,GPT-4o
io,8.250000000000002,0.14028,GPT-4o
io,9.163636363636362,0.15123,GPT-4o
io,8.418300653594772,0.20127,GPT-4o
io,7.875,0.13305,GPT-4o
io,8.470588235294118,0.13467,GPT-4o
io,8.653846153846153,0.13535999999999998,GPT-4o
io,8.950617283950617,0.15821999999999997,GPT-4o
io,8.80503144654088,0.16404000000000002,GPT-4o
cot,8.909657320872274,0.2121,GPT-4o
cot,8.80503144654088,0.24245999999999998,GPT-4o
cot,6.746031746031747,0.14175,GPT-4o
cot,7.74468085106383,0.18939,GPT-4o
cot,8.081632653061225,0.23354999999999998,GPT-4o
cot,8.653846153846153,0.20778,GPT-4o
cot,7.875,0.20315999999999998,GPT-4o
cot,8.80503144654088,0.18384,GPT-4o
cot,8.470588235294118,0.16374,GPT-4o
cot,8.418300653594772,0.25686,GPT-4o
tot,9.321428571428573,3.08814,GPT-4o
tot,8.653846153846153,2.61111,GPT-4o
tot,9.163636363636362,3.46224,GPT-4o
tot,8.987654320987653,2.4356999999999998,GPT-4o
tot,8.88888888888889,2.51559,GPT-4o
tot,9.163636363636362,4.0245,GPT-4o
tot,8.653846153846153,2.3266799999999996,GPT-4o
tot,8.987654320987653,3.50358,GPT-4o
tot,8.987654320987653,3.7840499999999997,GPT-4o
got,9.163636363636362,2.49537,GPT-4o
got,8.987654320987653,2.38218,GPT-4o
got,9.139393939393939,2.27496,GPT-4o
got,9.163636363636362,2.32071,GPT-4o
got,8.80503144654088,2.45304,GPT-4o
got,8.987654320987653,2.44731,GPT-4o
got,9.497076023391813,2.5712699999999997,GPT-4o
got,8.653846153846153,2.55969,GPT-4o
got,9.473684210526315,2.59971,GPT-4o
got,9.139393939393939,2.56773,GPT-4o
io,8.470588235294118,0.0,Claude-3.5
io,8.470588235294118,0.0,Claude-3.5
io,8.830188679245284,0.0,Claude-3.5
io,9.0,0.0,Claude-3.5
io,8.470588235294118,0.0,Claude-3.5
io,8.470588235294118,0.0,Claude-3.5
io,8.653846153846153,0.0,Claude-3.5
io,8.470588235294118,0.0,Claude-3.5
io,8.653846153846153,0.0,Claude-3.5
io,8.333333333333334,0.0,Claude-3.5
cot,8.830188679245284,0.0,Claude-3.5
cot,8.470588235294118,0.0,Claude-3.5
cot,8.653846153846153,0.0,Claude-3.5
cot,8.653846153846153,0.0,Claude-3.5
cot,8.653846153846153,0.0,Claude-3.5
cot,8.830188679245284,0.0,Claude-3.5
cot,8.830188679245284,0.0,Claude-3.5
cot,8.470588235294118,0.0,Claude-3.5
cot,8.653846153846153,0.0,Claude-3.5
cot,8.16326530612245,0.0,Claude-3.5
tot,8.830188679245284,0.0,Claude-3.5
tot,8.653846153846153,0.0,Claude-3.5
tot,8.830188679245284,0.0,Claude-3.5
tot,8.987654320987653,0.0,Claude-3.5
tot,8.653846153846153,0.0,Claude-3.5
tot,8.987654320987653,0.0,Claude-3.5
tot,9.0,0.0,Claude-3.5
tot,8.653846153846153,0.0,Claude-3.5
tot,8.830188679245284,0.0,Claude-3.5
tot,8.653846153846153,0.0,Claude-3.5
got,8.653846153846153,0.0,Claude-3.5
got,8.653846153846153,0.0,Claude-3.5
got,8.830188679245284,0.0,Claude-3.5
got,8.470588235294118,0.0,Claude-3.5
got,8.830188679245284,0.0,Claude-3.5
got,9.0,0.0,Claude-3.5
got,9.163636363636362,0.0,Claude-3.5
got,9.0,0.0,Claude-3.5
got,8.987654320987653,0.0,Claude-3.5
got,9.0,0.0,Claude-3.5
io,5.090909090909091,0.0,Llama-3.1-8B
io,5.333333333333333,0.0,Llama-3.1-8B
io,4.869565217391305,0.0,Llama-3.1-8B
io,6.976744186046512,0.0,Llama-3.1-8B
io,6.984126984126983,0.0,Llama-3.1-8B
io,5.405405405405405,0.0,Llama-3.1-8B
io,6.296296296296297,0.0,Llama-3.1-8B
io,6.5166666666666675,0.0,Llama-3.1-8B
io,7.944444444444444,0.0,Llama-3.1-8B
io,4.631578947368421,0.0,Llama-3.1-8B
cot,5.6000000000000005,0.0,Llama-3.1-8B
cot,5.490196078431373,0.0,Llama-3.1-8B
cot,6.066666666666667,0.0,Llama-3.1-8B
cot,4.493827160493827,0.0,Llama-3.1-8B
cot,6.7407407407407405,0.0,Llama-3.1-8B
cot,7.162790697674419,0.0,Llama-3.1-8B
cot,4.434782608695652,0.0,Llama-3.1-8B
cot,7.069767441860465,0.0,Llama-3.1-8B
cot,6.976744186046512,0.0,Llama-3.1-8B
tot,7.318518518518518,0.0,Llama-3.1-8B
tot,8.136054421768709,0.0,Llama-3.1-8B
tot,7.536231884057972,0.0,Llama-3.1-8B
tot,8.213333333333333,0.0,Llama-3.1-8B
tot,7.069767441860465,0.0,Llama-3.1-8B
tot,8.742857142857142,0.0,Llama-3.1-8B
tot,7.74468085106383,0.0,Llama-3.1-8B
tot,6.634146341463414,0.0,Llama-3.1-8B
tot,8.242424242424242,0.0,Llama-3.1-8B
